id,model,year_of_manufacture,mileage,count_trip,last_maintenance_date,to
13591,Renault Logan,2017,355505,738895,2024-08-03,0
13592,Hyundai Solaris,2019,368905,523500,2024-08-31,0
13593,Haval F7,2017,291240,749005,2024-07-22,0
13594,KIA Spectra,2022,119310,271870,2024-01-23,0
13595,Chevrolet Lacetti,2022,158866,266080,2024-05-10,0
13596,Kia Rio,2017,302240,619075,2024-08-09,0
13597,LADA (VAZ) Vesta,2022,120692,234632,2024-11-17,0
13598,EXEED TXL,2021,227202,439392,2024-07-04,0
13599,Chery Tiggo 7 Pro,2024,12178,20508,2024-04-15,0
13600,Chevrolet Lacetti,2023,62637,101763,2024-04-20,0
13601,Chevrolet Lacetti,2022,128696,281210,2024-10-08,0
13602,Kia Rio,2022,122442,261012,2023-12-30,0
13603,LADA (VAZ) Vesta,2014,393100,727130,2024-07-23,0
13604,Nissan Note,2016,290880,702280,2024-09-11,0
13605,Chevrolet Aveo,2015,338640,550205,2024-06-24,0
13606,EXEED TXL,2020,319476,568700,2024-10-21,0
13607,Hyundai Accent,2020,231124,459132,2024-03-10,0
13608,Chery Tiggo 4,2024,9947,7044,2024-11-25,0
13609,Volkswagen Polo,2021,212451,427998,2024-11-19,0
13610,LADA (VAZ) Vesta,2021,222795,439155,2024-02-25,0
13611,EXEED TXL,2022,150914,279916,2024-03-25,0
13612,Haval F7,2016,296535,713130,2024-10-11,0
13613,Nissan Note,2024,21255,6833,2024-09-16,0
13614,Volkswagen Polo,2022,132896,251264,2024-01-20,0
13615,Renault Logan,2019,347520,579840,2024-07-21,0
13616,Geely Tugella,2020,230236,424092,2024-06-21,0
13617,KIA Spectra,2019,306725,609225,2024-08-21,0
13618,Chery Tiggo 4,2020,251964,502256,2024-08-17,0
13619,Haval F7,2022,145724,292340,2024-10-18,0
13620,Renault Logan,2022,126110,216468,2024-03-02,0
13621,KIA Spectra,2016,378385,659600,2024-09-03,0
13622,Chery Tiggo 7 Pro,2021,198156,416505,2024-10-05,0
13623,KIA Spectra,2022,152984,269440,2024-06-06,0
13624,Haval F7,2017,255160,592940,2024-12-05,0
13625,EXEED TXL,2023,57938,137262,2024-08-13,0
13626,Kia Rio,2022,121514,273342,2024-10-13,0
13627,LADA (VAZ) Vesta,2018,280465,616525,2024-10-29,0
13628,Volkswagen Polo,2018,300675,645755,2024-11-27,0
13629,Geely Tugella,2020,272484,529556,2024-11-29,0
13630,Chevrolet Lacetti,2021,208779,379062,2024-08-24,0
13631,Chevrolet Lacetti,2018,273075,579715,2024-08-03,0
13632,LADA (VAZ) Vesta,2024,10255,3652,2024-05-20,0
13633,Volkswagen Polo,2023,58957,106237,2024-06-15,0
13634,Nissan Note,2019,349235,531225,2024-12-12,0
13635,Renault Logan,2023,76820,114200,2024-05-20,0
13636,Chevrolet Aveo,2020,251860,404996,2024-10-18,0
13637,LADA (VAZ) Vesta,2018,323195,730645,2024-08-11,0
13638,Hyundai Accent,2018,342670,708025,2024-10-27,0
13639,Volkswagen Polo,2018,379065,653150,2024-12-11,0
13640,KIA Spectra,2016,322610,665365,2024-07-24,0
13641,Kia Rio,2021,217740,331800,2024-02-29,0
13642,Nissan Note,2023,68492,100205,2024-10-11,0
13643,LADA (VAZ) Vesta,2024,21934,7183,2024-11-16,0
13644,Kia Rio,2024,22630,23909,2024-01-09,0
13645,Volkswagen Polo,2023,73333,110421,2024-01-12,0
13646,Chevrolet Lacetti,2023,68766,147673,2024-01-15,0
13647,LADA (VAZ) Vesta,2024,26534,12385,2024-03-23,0
13648,Chery Tiggo 7 Pro,2024,12245,27563,2024-06-01,0
13649,Chery Tiggo 7 Pro,2021,207420,351021,2024-04-26,0
13650,Geely Tugella,2018,360300,747135,2024-07-25,0
13651,Haval F7,2019,372135,516950,2024-08-26,0
13652,Nissan Note,2020,293016,408664,2024-07-09,0
13653,Chevrolet Aveo,2023,71851,134096,2024-01-08,0
13654,Chevrolet Lacetti,2021,161742,417618,2024-12-10,0
13655,Chevrolet Aveo,2021,223137,381525,2024-11-19,0
13656,Renault Logan,2023,65715,107959,2024-08-20,0
13657,Hyundai Accent,2024,12961,10879,2024-10-23,0
13658,Kia Rio,2021,221556,305622,2024-10-26,0
13659,Chevrolet Lacetti,2015,355265,652570,2024-08-04,0
13660,Chery Tiggo 4,2024,27413,22864,2024-06-25,0
13661,Renault Logan,2021,193635,362904,2024-04-16,0
13662,Geely Tugella,2022,102138,212854,2024-03-19,0
13663,Haval F7,2016,361125,555880,2024-10-19,0
13664,Hyundai Accent,2013,388460,567005,2024-06-29,0
13665,Chery Tiggo 4,2017,362100,606895,2024-07-06,0
13666,EXEED TXL,2019,389890,706935,2024-09-17,0
13667,Chevrolet Lacetti,2023,70326,101138,2024-05-21,0
13668,Volkswagen Polo,2022,116740,248784,2024-12-03,0
13669,Chery Tiggo 7 Pro,2023,61973,111153,2024-09-01,0
13670,Chery Tiggo 7 Pro,2020,286644,562660,2024-02-25,0
13671,KIA Spectra,2023,53017,121916,2024-03-20,0
13672,Chevrolet Aveo,2023,59181,106190,2024-11-04,0
13673,Haval F7,2019,341515,612475,2024-09-14,0
13674,KIA Spectra,2020,284228,546688,2024-10-06,0
13675,EXEED TXL,2020,273116,414916,2024-10-15,0
13676,KIA Spectra,2021,217749,372018,2024-02-09,0
13677,Chery Tiggo 4,2015,347605,576090,2024-09-27,0
13678,Hyundai Solaris,2017,349050,665020,2024-10-11,0
13679,Nissan Note,2017,364555,597125,2024-06-25,0
13680,KIA Spectra,2023,59454,105385,2024-06-08,0
13681,Geely Tugella,2023,73749,136864,2024-11-03,0
13682,Volkswagen Polo,2020,315348,558404,2024-05-10,0
13683,EXEED TXL,2015,271660,732180,2024-11-16,0
13684,LADA (VAZ) Vesta,2021,198975,322641,2024-05-12,0
13685,Volkswagen Polo,2020,269396,466600,2024-08-20,0
13686,EXEED TXL,2015,396045,602930,2024-09-19,0
13687,Chevrolet Lacetti,2022,121608,202568,2024-12-03,0
13688,Geely Tugella,2023,70491,140237,2024-09-29,0
13689,LADA (VAZ) Vesta,2024,20602,2177,2024-06-27,0
13690,Geely Tugella,2024,11258,26603,2024-10-07,0
13691,Hyundai Solaris,2015,266280,602560,2024-07-03,0
13692,Chevrolet Lacetti,2021,181734,392235,2024-04-09,0
13693,Haval F7,2017,305260,677745,2024-07-11,0
13694,Hyundai Accent,2019,319400,560270,2024-09-30,0
13695,Renault Logan,2019,390290,738840,2024-07-30,0
13696,Kia Rio,2014,346680,674180,2024-09-13,0
13697,Chevrolet Aveo,2018,398535,654690,2024-07-29,0
13698,EXEED TXL,2018,382775,725130,2024-10-11,0
13699,EXEED TXL,2023,72468,114749,2024-05-17,0
13700,Kia Rio,2024,2364,6271,2024-04-10,0
13701,KIA Spectra,2023,77743,121407,2024-03-22,0
13702,Chery Tiggo 7 Pro,2021,206355,318201,2024-10-03,0
13703,LADA (VAZ) Vesta,2022,158262,270988,2024-01-02,0
13704,Chevrolet Lacetti,2022,154000,213606,2024-06-02,0
13705,LADA (VAZ) Vesta,2022,113566,212418,2024-12-12,0
13706,Renault Logan,2013,368945,748975,2024-10-03,0
13707,Hyundai Accent,2015,376085,503760,2024-09-12,0
13708,Kia Rio,2016,287635,627720,2024-12-13,0
13709,Hyundai Solaris,2020,278560,462084,2024-11-26,0
13710,Haval F7,2024,14804,24821,2024-03-12,0
13711,Chevrolet Aveo,2019,330715,529300,2024-10-01,0
13712,Hyundai Accent,2023,69479,134444,2024-10-17,0
13713,Hyundai Solaris,2020,219060,522736,2024-04-16,0
13714,LADA (VAZ) Vesta,2018,308885,630495,2024-07-22,0
13715,Chevrolet Lacetti,2024,15959,16257,2024-09-16,0
13716,Volkswagen Polo,2019,334970,551745,2024-09-24,0
13717,Chevrolet Lacetti,2013,321460,631870,2024-07-20,0
13718,Volkswagen Polo,2021,235020,384411,2024-09-29,0
13719,Haval F7,2020,280536,495748,2024-09-28,0
13720,Haval F7,2021,163800,420108,2024-03-24,0
13721,LADA (VAZ) Vesta,2017,334835,658435,2024-08-20,0
13722,Nissan Note,2013,252975,652165,2024-09-26,0
13723,Chery Tiggo 7 Pro,2024,22849,28759,2024-01-28,0
13724,Geely Tugella,2018,333795,520250,2024-08-17,0
13725,Kia Rio,2016,314505,631435,2024-10-01,0
13726,Haval F7,2022,126266,265158,2024-01-04,0
13727,Kia Rio,2020,246544,446172,2024-06-19,0
13728,Nissan Note,2024,26736,7864,2024-12-11,0
13729,LADA (VAZ) Vesta,2024,3082,3782,2024-08-09,0
13730,EXEED TXL,2018,272015,702230,2024-09-10,0
13731,Chevrolet Aveo,2021,173808,377838,2024-01-17,0
13732,Nissan Note,2019,341835,513070,2024-07-05,0
13733,Nissan Note,2023,74024,137255,2024-07-29,0
13734,Kia Rio,2023,76683,101663,2024-11-05,0
13735,Chery Tiggo 7 Pro,2024,29533,7243,2024-10-14,0
13736,Nissan Note,2024,4633,21005,2024-06-11,0
13737,Nissan Note,2022,145654,267666,2024-06-08,0
13738,EXEED TXL,2013,372280,528375,2024-09-17,0
13739,Kia Rio,2022,130778,234190,2024-07-03,0
13740,EXEED TXL,2023,61904,137127,2024-01-18,0
13741,Geely Tugella,2021,187059,433671,2024-06-09,0
13742,Hyundai Accent,2024,14041,27396,2024-06-02,0
13743,Kia Rio,2015,362960,638125,2024-08-10,0
13744,Nissan Note,2022,128034,259730,2024-02-16,0
13745,Chery Tiggo 4,2021,210672,409527,2024-11-11,0
13746,Chery Tiggo 4,2018,331665,646045,2024-10-06,0
13747,Chery Tiggo 4,2016,353980,591590,2024-08-31,0
13748,Volkswagen Polo,2024,14607,14910,2024-03-29,0
13749,Kia Rio,2015,371210,744140,2024-10-04,0
13750,EXEED TXL,2023,73866,110879,2024-02-01,0
13751,Kia Rio,2020,217548,448764,2024-07-09,0
13752,Chery Tiggo 4,2024,28027,15018,2024-10-13,0
13753,Renault Logan,2020,319012,584732,2024-04-06,0
13754,Chery Tiggo 4,2020,239328,480616,2024-09-02,0
13755,Renault Logan,2017,278285,706690,2024-12-08,0
13756,EXEED TXL,2023,56986,136947,2024-08-26,0
13757,Hyundai Accent,2020,223228,594284,2024-07-15,0
13758,Haval F7,2013,273185,672165,2024-12-16,0
13759,EXEED TXL,2022,111252,299984,2024-01-06,0
13760,Chery Tiggo 4,2021,238050,364518,2024-10-24,0
13761,Renault Logan,2019,386050,649220,2024-09-26,0
13762,Hyundai Solaris,2016,339820,674435,2024-09-16,0
13763,Hyundai Accent,2020,250716,423892,2024-07-01,0
13764,Renault Logan,2023,71144,105807,2024-03-31,0
13765,Hyundai Accent,2021,161715,344379,2024-04-18,0
13766,Nissan Note,2019,252620,502870,2024-08-13,0
13767,Chery Tiggo 4,2014,341500,682505,2024-09-23,0
13768,Chery Tiggo 7 Pro,2023,55176,143792,2024-05-09,0
13769,Nissan Note,2020,247988,415256,2024-12-12,0
13770,Haval F7,2019,251410,510310,2024-11-09,0
13771,Nissan Note,2016,358085,730245,2024-10-13,0
13772,Geely Tugella,2015,258495,683805,2024-08-10,0
13773,Chevrolet Aveo,2017,250290,506990,2024-07-16,0
13774,Geely Tugella,2023,75435,106301,2024-05-10,0
13775,Chery Tiggo 4,2018,386940,507830,2024-07-06,0
13776,Hyundai Accent,2023,52777,107369,2024-01-27,0
13777,Nissan Note,2022,145464,222628,2024-08-04,0
13778,Renault Logan,2020,310224,572780,2024-02-16,0
13779,EXEED TXL,2022,134596,243642,2024-10-25,0
13780,Haval F7,2022,140894,236628,2024-12-02,0
13781,Geely Tugella,2024,23358,10276,2024-09-02,0
13782,EXEED TXL,2023,76857,124702,2024-07-16,0
13783,Kia Rio,2022,134896,252392,2024-11-17,0
13784,Chery Tiggo 4,2020,258476,568692,2024-10-21,0
13785,KIA Spectra,2022,114964,260556,2024-04-24,0
13786,Chery Tiggo 7 Pro,2019,398595,611385,2024-11-09,0
13787,Hyundai Solaris,2013,258265,622415,2024-09-20,0
13788,Chevrolet Lacetti,2017,328880,605135,2024-12-13,0
13789,Nissan Note,2022,133210,232018,2024-03-04,0
13790,Hyundai Accent,2023,59692,114561,2024-12-15,0
13791,Haval F7,2020,283264,527044,2024-10-20,0
13792,Nissan Note,2022,115048,259246,2024-02-27,0
13793,Chery Tiggo 7 Pro,2022,132778,210220,2024-11-20,0
13794,Chery Tiggo 4,2024,29707,18060,2024-09-02,0
13795,Renault Logan,2015,293320,668795,2024-06-29,0
13796,Geely Tugella,2013,267740,734200,2024-11-17,0
13797,Hyundai Accent,2019,390955,611285,2024-10-09,0
13798,Chevrolet Aveo,2019,265010,672145,2024-10-10,0
13799,Haval F7,2024,8264,22196,2024-06-01,0
13800,EXEED TXL,2021,199626,392373,2024-01-18,0
13801,Kia Rio,2013,278630,714750,2024-12-01,0
13802,Chery Tiggo 4,2022,121480,269402,2024-12-15,0
13803,Renault Logan,2022,126054,295342,2024-06-24,0
13804,Volkswagen Polo,2016,262135,682945,2024-08-30,0
13805,Haval F7,2023,67911,108217,2024-07-06,0
13806,Chery Tiggo 7 Pro,2022,115360,227736,2024-03-13,0
13807,Volkswagen Polo,2016,323365,633810,2024-12-16,0
13808,Kia Rio,2018,375905,522065,2024-09-28,0
13809,Hyundai Accent,2019,286680,610080,2024-12-13,0
13810,Chery Tiggo 4,2016,367960,660925,2024-09-03,0
13811,KIA Spectra,2014,309350,688465,2024-08-26,0
13812,LADA (VAZ) Vesta,2024,20730,23183,2024-04-01,0
13813,Kia Rio,2022,122290,250798,2024-09-17,0
13814,Hyundai Accent,2021,223467,331470,2024-06-22,0
13815,Hyundai Solaris,2020,233852,404820,2024-02-12,0
13816,EXEED TXL,2024,8245,10246,2023-12-26,0
13817,Hyundai Solaris,2024,15008,19062,2024-08-13,0
13818,Chevrolet Aveo,2021,171342,430299,2024-12-01,0
13819,LADA (VAZ) Vesta,2023,56485,138559,2024-11-14,0
13820,Hyundai Accent,2020,279928,595532,2024-08-17,0
13821,Chery Tiggo 7 Pro,2022,110576,206778,2024-05-30,0
13822,Renault Logan,2017,379550,719945,2024-07-10,0
13823,Nissan Note,2016,399390,574915,2024-08-21,0
13824,Kia Rio,2017,288965,586345,2024-08-30,0
13825,KIA Spectra,2022,156512,268060,2024-01-10,0
13826,Hyundai Solaris,2022,136262,242582,2024-06-06,0
13827,Renault Logan,2019,366605,626095,2024-09-27,0
13828,LADA (VAZ) Vesta,2022,148638,220054,2024-06-16,0
13829,LADA (VAZ) Vesta,2021,174735,354426,2024-07-08,0
13830,EXEED TXL,2021,218637,363915,2024-04-23,0
13831,Renault Logan,2020,297368,572308,2024-07-31,0
13832,Chevrolet Lacetti,2016,371775,580245,2024-07-08,0
13833,Haval F7,2022,137492,238582,2024-12-10,0
13834,Chery Tiggo 7 Pro,2014,275515,533165,2024-07-15,0
13835,LADA (VAZ) Vesta,2015,350580,551995,2024-10-14,0
13836,Hyundai Accent,2019,374145,603045,2024-07-27,0
13837,Nissan Note,2022,114066,202938,2024-05-07,0
13838,LADA (VAZ) Vesta,2020,286016,566096,2024-02-01,0
13839,Chevrolet Aveo,2015,342415,651425,2024-10-26,0
13840,LADA (VAZ) Vesta,2024,29790,22132,2024-08-26,0
13841,Chery Tiggo 4,2020,220948,542880,2023-12-26,0
13842,KIA Spectra,2024,12822,27620,2024-09-06,0
13843,Volkswagen Polo,2017,368370,513745,2024-09-19,0
13844,Hyundai Solaris,2022,118764,206842,2023-12-23,0
13845,Nissan Note,2023,63206,125770,2024-02-04,0
13846,Haval F7,2023,50831,117928,2024-11-12,0
13847,Haval F7,2018,286260,673665,2024-10-29,0
13848,Chery Tiggo 4,2024,28142,11861,2024-08-23,0
13849,LADA (VAZ) Vesta,2022,100206,280026,2024-01-12,0
13850,EXEED TXL,2019,377970,572250,2024-11-15,0
13851,Chevrolet Lacetti,2019,256815,654585,2024-07-21,0
13852,Hyundai Solaris,2024,12375,22986,2024-05-02,0
13853,Hyundai Accent,2019,292490,679655,2024-11-10,0
13854,Chery Tiggo 7 Pro,2022,145954,297080,2024-01-07,0
13855,Chery Tiggo 7 Pro,2024,24657,16344,2024-01-19,0
13856,Kia Rio,2015,341290,603000,2024-08-11,0
13857,Haval F7,2017,339735,616985,2024-08-05,0
13858,Chevrolet Lacetti,2014,306750,584070,2024-08-29,0
13859,Geely Tugella,2024,13415,25119,2024-12-13,0
13860,EXEED TXL,2020,271296,560036,2023-12-20,0
13861,Hyundai Solaris,2017,352770,725115,2024-06-26,0
13862,Chery Tiggo 4,2021,199557,322554,2024-06-22,0
13863,Kia Rio,2017,308320,694795,2024-12-16,0
13864,Chery Tiggo 4,2024,29917,19718,2024-05-07,0
13865,Hyundai Accent,2024,2350,22970,2024-07-25,0
13866,LADA (VAZ) Vesta,2019,350810,549305,2024-11-22,0
13867,Chevrolet Lacetti,2016,368140,619160,2024-12-12,0
13868,Volkswagen Polo,2019,372690,684320,2024-10-07,0
13869,Nissan Note,2018,261445,611455,2024-11-02,0
13870,KIA Spectra,2016,326055,524225,2024-11-19,0
13871,Chery Tiggo 7 Pro,2023,54791,108359,2024-11-02,0
13872,LADA (VAZ) Vesta,2023,68417,141613,2024-08-18,0
13873,KIA Spectra,2019,392975,660430,2024-08-28,0
13874,Chery Tiggo 7 Pro,2021,184455,377724,2024-05-15,0
13875,Geely Tugella,2024,23576,27455,2024-11-03,0
13876,Nissan Note,2023,68518,127542,2024-09-18,0
13877,Geely Tugella,2015,255155,741710,2024-07-03,0
13878,Chevrolet Aveo,2024,27630,20362,2024-10-11,0
13879,Nissan Note,2024,19681,25368,2024-03-11,0
13880,Nissan Note,2023,56621,143134,2024-09-16,0
13881,Chevrolet Lacetti,2013,307210,630660,2024-08-15,0
13882,Hyundai Solaris,2020,265904,547216,2024-01-18,0
13883,KIA Spectra,2024,22631,22505,2023-12-30,0
13884,Volkswagen Polo,2020,249208,465592,2024-02-28,0
13885,LADA (VAZ) Vesta,2023,62321,131727,2024-04-10,0
13886,Volkswagen Polo,2020,307600,402152,2024-01-04,0
13887,Hyundai Accent,2022,123076,234780,2024-05-22,0
13888,Volkswagen Polo,2018,346085,615350,2024-06-24,0
13889,Kia Rio,2018,334755,624725,2024-09-25,0
13890,Hyundai Solaris,2019,312365,693750,2024-11-13,0
13891,Hyundai Accent,2020,232792,553160,2024-11-29,0
13892,Chery Tiggo 4,2016,318500,694375,2024-08-14,0
13893,Chevrolet Aveo,2020,244576,434508,2024-02-01,0
13894,Hyundai Solaris,2020,253484,487832,2024-09-01,0
13895,Volkswagen Polo,2021,198621,354570,2024-07-27,0
13896,Chery Tiggo 4,2019,378265,650135,2024-11-08,0
13897,Hyundai Accent,2020,258796,414880,2024-04-02,0
13898,Chery Tiggo 4,2020,280752,417988,2024-12-07,0
13899,EXEED TXL,2021,189549,320691,2024-08-16,0
13900,Nissan Note,2020,251620,506600,2024-08-26,0
13901,Renault Logan,2024,3756,13515,2024-03-09,0
13902,Hyundai Accent,2019,388810,569850,2024-12-09,0
13903,Volkswagen Polo,2020,299944,490128,2024-12-05,0
13904,Hyundai Accent,2017,266665,520110,2024-11-19,0
13905,Hyundai Accent,2021,236613,339621,2024-05-22,0
13906,Chevrolet Aveo,2023,56243,106963,2024-10-17,0
13907,Chevrolet Lacetti,2020,279924,520836,2024-07-18,0
13908,LADA (VAZ) Vesta,2021,235677,372591,2024-11-13,0
13909,Chevrolet Aveo,2019,397035,587120,2024-07-29,0
13910,Haval F7,2024,20036,29121,2024-07-06,0
13911,LADA (VAZ) Vesta,2021,156645,401025,2024-02-03,0
13912,Haval F7,2021,211443,302079,2024-09-07,0
13913,Nissan Note,2018,278250,740725,2024-10-20,0
13914,Haval F7,2020,317196,423872,2024-05-21,0
13915,Hyundai Accent,2024,20669,4687,2023-12-20,0
13916,LADA (VAZ) Vesta,2022,134012,294326,2024-04-24,0
13917,Chery Tiggo 4,2018,387580,545310,2024-10-13,0
13918,Chevrolet Lacetti,2019,253950,507855,2024-11-10,0
13919,Hyundai Solaris,2017,364780,683855,2024-09-04,0
13920,Haval F7,2024,7634,7702,2024-02-14,0
13921,Nissan Note,2020,201388,522744,2024-12-06,0
13922,Geely Tugella,2015,397125,635975,2024-11-30,0
13923,LADA (VAZ) Vesta,2021,154917,393942,2024-09-12,0
13924,Chevrolet Aveo,2024,5706,14970,2024-03-08,0
13925,Geely Tugella,2017,373570,686555,2024-07-11,0
13926,Chevrolet Aveo,2015,383510,642485,2024-12-02,0
13927,Chery Tiggo 7 Pro,2024,4250,28075,2024-04-22,0
13928,Chevrolet Lacetti,2018,311580,529015,2024-07-09,0
13929,Geely Tugella,2021,163335,364041,2024-01-08,0
13930,Hyundai Accent,2023,50230,115162,2024-04-22,0
13931,Chery Tiggo 7 Pro,2021,171069,391875,2024-01-14,0
13932,Hyundai Accent,2022,114580,252192,2023-12-22,0
13933,Volkswagen Polo,2018,331320,689190,2024-10-06,0
13934,EXEED TXL,2024,25681,10110,2024-06-03,0
13935,Chery Tiggo 4,2017,355845,731775,2024-08-14,0
13936,Chevrolet Aveo,2020,250172,438268,2024-10-15,0
13937,Geely Tugella,2023,59494,125714,2024-01-01,0
13938,Volkswagen Polo,2019,398570,682585,2024-11-18,0
13939,Haval F7,2018,377635,579730,2024-12-09,0
13940,Chevrolet Aveo,2020,231168,577596,2024-07-12,0
13941,KIA Spectra,2018,389990,606905,2024-07-02,0
13942,LADA (VAZ) Vesta,2023,62049,113415,2024-05-01,0
13943,EXEED TXL,2022,109232,290282,2024-07-26,0
13944,LADA (VAZ) Vesta,2022,117004,208268,2024-08-01,0
13945,Haval F7,2015,384190,518930,2024-11-20,0
13946,Hyundai Accent,2023,51665,129142,2024-02-07,0
13947,Renault Logan,2023,58636,113405,2024-11-17,0
13948,Kia Rio,2013,374070,589965,2024-11-02,0
13949,Volkswagen Polo,2024,24272,16437,2024-01-04,0
13950,EXEED TXL,2021,193605,333741,2024-05-24,0
13951,Kia Rio,2020,239724,518052,2024-05-09,0
13952,LADA (VAZ) Vesta,2022,157356,276180,2024-06-07,0
13953,Renault Logan,2015,364905,595780,2024-09-20,0
13954,KIA Spectra,2023,66175,117146,2024-10-07,0
13955,Haval F7,2024,5600,20021,2024-10-06,0
13956,Kia Rio,2014,277490,613220,2024-07-09,0
13957,Geely Tugella,2021,220131,419295,2024-02-15,0
13958,Chevrolet Aveo,2022,131856,259258,2024-07-29,0
13959,Kia Rio,2024,3150,29676,2024-06-28,0
13960,LADA (VAZ) Vesta,2013,283890,712275,2024-08-16,0
13961,Chevrolet Lacetti,2021,195651,417702,2024-08-15,0
13962,Hyundai Solaris,2022,107928,280792,2023-12-25,0
13963,Chevrolet Lacetti,2024,5461,6880,2024-03-09,0
13964,LADA (VAZ) Vesta,2021,197202,387168,2024-06-19,0
13965,Chevrolet Aveo,2016,386935,567010,2024-06-24,0
13966,Nissan Note,2024,9951,2848,2024-05-13,0
13967,Chevrolet Lacetti,2020,222088,547232,2024-03-19,0
13968,Chevrolet Aveo,2022,141350,287190,2024-09-21,0
13969,Nissan Note,2021,208353,353631,2024-05-30,0
13970,Chevrolet Aveo,2019,303445,632165,2024-09-23,0
13971,Chevrolet Aveo,2021,232044,347577,2024-05-16,0
13972,LADA (VAZ) Vesta,2017,304515,644800,2024-12-16,0
13973,EXEED TXL,2020,319920,482008,2024-11-23,0
13974,Volkswagen Polo,2022,138480,200180,2024-05-08,0
13975,Haval F7,2018,281530,557895,2024-07-29,0
13976,Hyundai Accent,2014,299545,634305,2024-09-19,0
13977,Volkswagen Polo,2017,360815,734640,2024-09-26,0
13978,Volkswagen Polo,2023,79387,121322,2024-12-09,0
13979,Chery Tiggo 4,2019,357605,654410,2024-08-05,0
13980,Volkswagen Polo,2016,356380,705815,2024-08-03,0
13981,Volkswagen Polo,2024,28262,5976,2024-11-18,0
13982,KIA Spectra,2022,159572,219502,2024-09-06,0
13983,LADA (VAZ) Vesta,2018,295275,580610,2024-10-28,0
13984,EXEED TXL,2016,334485,610675,2024-10-17,0
13985,Geely Tugella,2022,133762,290320,2024-10-03,0
13986,Chery Tiggo 7 Pro,2018,289920,617735,2024-07-13,0
13987,Volkswagen Polo,2022,157264,225306,2024-01-30,0
13988,Chery Tiggo 7 Pro,2024,3635,4185,2024-12-13,0
13989,Hyundai Accent,2015,256735,505935,2024-12-17,0
13990,Nissan Note,2023,58086,134253,2024-01-27,0
13991,Nissan Note,2023,66474,105417,2024-04-04,0
13992,Renault Logan,2020,203276,462844,2024-01-04,0
13993,Geely Tugella,2014,300025,614860,2024-08-17,0
13994,Chery Tiggo 4,2015,394885,518895,2024-08-04,0
13995,Nissan Note,2020,246016,532976,2024-06-24,0
13996,EXEED TXL,2018,329825,550535,2024-11-17,0
13997,Volkswagen Polo,2023,50551,149104,2024-04-30,0
13998,Renault Logan,2019,355140,602260,2024-11-02,0
13999,Geely Tugella,2016,318495,609990,2024-09-03,0
14000,Chery Tiggo 7 Pro,2021,227658,364509,2024-04-12,0
14001,Haval F7,2017,272000,730880,2024-10-22,0
14002,Renault Logan,2024,19679,1046,2024-02-13,0
14003,Hyundai Accent,2016,352865,616905,2024-12-04,0
14004,Chevrolet Aveo,2024,26739,18442,2024-08-12,0
14005,EXEED TXL,2013,279515,529255,2024-11-14,0
14006,KIA Spectra,2020,227432,447444,2024-02-02,0
14007,Chery Tiggo 7 Pro,2024,10986,8041,2024-05-03,0
14008,Chevrolet Lacetti,2015,309620,639635,2024-09-19,0
14009,Renault Logan,2013,327490,588095,2024-07-11,0
14010,Chevrolet Aveo,2022,150642,204310,2024-06-21,0
14011,Chery Tiggo 7 Pro,2021,209640,338505,2024-11-07,0
14012,Chevrolet Aveo,2013,388165,665910,2024-08-28,0
14013,Hyundai Accent,2024,8638,9525,2024-11-20,0
14014,Chery Tiggo 4,2018,289045,625825,2024-07-15,0
14015,Chevrolet Lacetti,2020,287024,416068,2024-02-01,0
14016,Haval F7,2020,230020,569676,2024-04-26,0
14017,Geely Tugella,2023,61077,111583,2024-05-30,0
14018,Hyundai Accent,2020,234672,540072,2024-02-17,0
14019,LADA (VAZ) Vesta,2019,250235,547600,2024-11-27,0
14020,Hyundai Solaris,2023,58083,129481,2024-10-28,0
14021,Nissan Note,2015,296165,516370,2024-08-25,0
14022,KIA Spectra,2019,318410,717975,2024-09-09,0
14023,Hyundai Solaris,2023,71432,121285,2024-10-21,0
14024,KIA Spectra,2024,18151,1811,2024-07-06,0
14025,Hyundai Solaris,2022,110460,291166,2024-06-06,0
14026,Geely Tugella,2024,13669,11247,2024-05-22,0
14027,KIA Spectra,2023,66067,113969,2024-06-28,0
14028,Renault Logan,2019,336430,528300,2024-11-01,0
14029,KIA Spectra,2019,330090,705615,2024-11-02,0
14030,EXEED TXL,2017,297040,603080,2024-06-22,0
14031,Haval F7,2021,208647,368184,2024-07-30,0
14032,LADA (VAZ) Vesta,2021,163029,301815,2024-12-03,0
14033,Hyundai Solaris,2017,259980,659235,2024-07-05,0
14034,Haval F7,2017,287995,649290,2024-06-21,0
14035,EXEED TXL,2020,249324,501824,2024-06-24,0
14036,Chery Tiggo 4,2024,25806,9538,2024-02-16,0
14037,Haval F7,2023,70767,115266,2024-05-31,0
14038,Chery Tiggo 7 Pro,2021,211029,325494,2024-04-23,0
14039,Nissan Note,2017,361670,539855,2024-10-06,0
14040,LADA (VAZ) Vesta,2015,260885,741680,2024-10-09,0
14041,Geely Tugella,2023,55627,144151,2024-06-25,0
14042,Nissan Note,2023,73741,109008,2024-06-03,0
14043,Geely Tugella,2022,140902,208852,2024-04-17,0
14044,Chevrolet Aveo,2022,118884,265936,2024-05-19,0
14045,Haval F7,2024,24370,18212,2024-03-29,0
14046,EXEED TXL,2023,74764,107218,2024-10-06,0
14047,EXEED TXL,2021,214644,307638,2023-12-24,0
